what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1271119755156
started,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1271119755281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119757609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119757625
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119757781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119845609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119849562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119861750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119861937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119870562
opened,view,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.debug.ui.PHPDebugOutput",1271119870843
activated,view,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.debug.ui.PHPDebugOutput",1271119870984
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1271119871109
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271119871656
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271119871765
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271119877093
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271119877109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120066312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120091250
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120093375
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120093515
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271120105000
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120105000
activated,view,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.debug.ui.PHPDebugOutput",1271120108281
closed,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271120108281
