what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1271199666406
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1271199666546
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1271199666578
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1271199666578
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1271199666609
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.200.v200904230847,"org.eclipse.wst.jsdt.web.ui",1271199666671
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1271199666734
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1271199666812
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1271199666812
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1271199666906
started,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1271199666906
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1271199666953
os,sysinfo,,,"win32",1271199666968
arch,sysinfo,,,"x86",1271199666968
ws,sysinfo,,,"win32",1271199666968
locale,sysinfo,,,"es_ES",1271199666968
processors,sysinfo,,,"2",1271199666968
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271199666968
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1271199666968
java.specification.name,sysinfo,,,"Java Platform API Specification",1271199666968
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271199666968
java.specification.version,sysinfo,,,"1.6",1271199666968
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271199666968
java.version,sysinfo,,,"1.6.0_18",1271199666968
java.vm.info,sysinfo,,,"mixed mode, sharing",1271199666968
