what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1271120452125
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.200.v200904230847,"org.eclipse.wst.jsdt.web.ui",1271120452125
started,bundle,org.eclipse.wst.sse.core,1.1.401.v200909172215,"org.eclipse.wst.sse.core",1271120452125
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1271120452125
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1271120452140
started,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1271120452140
os,sysinfo,,,"win32",1271120452156
arch,sysinfo,,,"x86",1271120452156
ws,sysinfo,,,"win32",1271120452156
locale,sysinfo,,,"es_ES",1271120452156
processors,sysinfo,,,"2",1271120452156
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271120452156
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1271120452156
java.specification.name,sysinfo,,,"Java Platform API Specification",1271120452156
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271120452156
java.specification.version,sysinfo,,,"1.6",1271120452156
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271120452156
java.version,sysinfo,,,"1.6.0_18",1271120452156
java.vm.info,sysinfo,,,"mixed mode, sharing",1271120452156
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1271120452156
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271120452156
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271120452156
java.vm.specification.version,sysinfo,,,"1.0",1271120452156
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1271120452156
java.vm.version,sysinfo,,,"16.0-b13",1271120452156
