what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.dltk.ui,1.0.1.v20090903-2153,"org.eclipse.dltk.ui.TypeHierarchy",1271113547140
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271113552734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113575265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113575281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113575390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113666890
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1271113676671
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271113678109
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1271113678843
opened,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1271113679515
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271113691859
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271113691859
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1271113694015
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1271113694125
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1271113695140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113718703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113718734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271113718875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271114500765
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1271114510937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271114511015
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1271114511156
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1271114511203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271114511453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271114512265
