what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1271115411359
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1271115411375
started,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1271115411687
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1271115412078
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1271115412312
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1271115414687
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1271115414718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115415062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115420906
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1271115420921
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1271115420921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115424937
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1271115435656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115436875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115453046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115453062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115453171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115524500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115534156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115536062
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1271115536062
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1271115536062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115540109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115548218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115558812
