what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271124888375
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1271124888500
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1271124897406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124904296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124904312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124904953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124905453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124906031
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124906031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124906171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125085062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125088796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125088812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125088968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125094687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125102625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125106640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125109859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125110046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125119078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125119093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125119312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125125171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125128796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271125143015
