what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115558828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115559546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115560031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115560750
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115560765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271115560937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118194484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118194562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118194625
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1271118224187
opened,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271118229203
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271118230078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118230187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118230203
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1271118248468
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1271118248531
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1271118248718
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1271118250343
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271118252781
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271118266531
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271118266906
closed,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271118266906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118281125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118281140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118281296
