what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1271113050890
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271113050890
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1271113050890
java.specification.name,sysinfo,,,"Java Platform API Specification",1271113050890
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271113050890
java.specification.version,sysinfo,,,"1.6",1271113050890
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271113050890
java.version,sysinfo,,,"1.6.0_18",1271113050890
java.vm.info,sysinfo,,,"mixed mode, sharing",1271113050890
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1271113050890
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271113050890
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271113050890
java.vm.specification.version,sysinfo,,,"1.0",1271113050890
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1271113050890
java.vm.version,sysinfo,,,"16.0-b13",1271113050890
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1271113050890
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1271113050906
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1271113050921
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1271113050968
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1271113050984
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1271113051046
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1271113051156
started,bundle,org.eclipse.php.server.core,2.1.1.v20090707-1108,"org.eclipse.php.server.core",1271113051171
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1271113051406
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1271113051421
