what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271124571171
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271124571312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124571453
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271124574656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124582312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124582328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124583984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124592968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124595078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124595312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124597500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271124686375
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271124689296
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1271124696265
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271124768156
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1271124773109
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1271124773218
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271124780906
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1271124782765
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271124822328
executed,command,,,"AUTOGEN:::org.eclipse.php.editor.ruler.actions/org.eclipse.php.internal.ui.editor.PhpSelectRulerAction",1271124828984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271124864859
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1271124887562
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1271124887609
started,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1271124887640
