what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120519734
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120519953
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271120528625
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120528625
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271120531500
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1271120531796
started,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1271120531906
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.core",1271120531921
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1271120531953
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271120536390
executed,command,org.eclipse.dltk.ui,1.0.1.v20090903-2153,"org.eclipse.dltk.ui.edit.text.script.open.editor",1271120536468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120543656
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120547093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120547781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120587437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120587578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120591843
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1271120592968
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1271120593406
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271120596500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120599781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120608562
executed,command,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui.phpServerShortcut.run",1271120608640
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120608828
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120608984
