what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118587421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118600796
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1271118956328
opened,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271118956406
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271118956562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118956828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118971125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118971140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271118971296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119005359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119008796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119008812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119008906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119105406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119107390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119107578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119111062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119417203
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1271119577218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119579046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119579062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119579187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271119714937
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271119749265
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1271119755046
