what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120236062
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120237843
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120238000
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271120241078
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120241078
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271120252953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120299250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120301234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120302843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120305281
executed,command,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.php.deubg.ui.phpexeShortcut.run",1271120305296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120310812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120325687
executed,command,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui.phpServerShortcut.run",1271120325718
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120325859
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120326015
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271120328781
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1271120328781
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1271120330375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120334937
closed,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1271120336796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120336953
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1271120336968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120340296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271120340328
